xyzDMxyzCountry,xyzDMxyzRequestYear,xyzDPxyzsp_pop_totl,xyzDPxyzny_gnp_pcap_cd,xyzDPxyzny_gdp_mktp_kd_zg
ABW,1960,.054608,,
ABW,1961,.055811,,
ABW,1962,.056682,,
ABW,1963,.057475,,
ABW,1964,.058178,,
ABW,1965,.058782,,
ABW,1966,.059291,,
ABW,1967,.059522,,
ABW,1968,.059471,,
ABW,1969,.05933,,
ABW,1970,.059106,,
ABW,1971,.058816,,
ABW,1972,.058855,,
ABW,1973,.059365,,
ABW,1974,.060028,,
ABW,1975,.060715,,
ABW,1976,.061193,,
ABW,1977,.061465,,
ABW,1978,.061738,,
ABW,1979,.062006,,
ABW,1980,.062267,,
ABW,1981,.062614,,
ABW,1982,.063116,,
ABW,1983,.063683,,
ABW,1984,.064174,,
ABW,1985,.064478,,
ABW,1986,.064553,,
ABW,1987,.06445,,16.078431
ABW,1988,.064332,9840,18.648649
ABW,1989,.064596,11110,12.129841
ABW,1990,.065712,11570,3.9614017
ABW,1991,.067864,12560,7.9628717
ABW,1992,.070192,13610,5.882354
ABW,1993,.07236,14640,7.3076932
ABW,1994,.07471,16060,8.2039013
ABW,1995,.07705,16930,2.5471437
ABW,1996,.079417,17150,1.1857885
ABW,1997,.081858,17980,7.046875
ABW,1998,.084355,18230,1.9919844
ABW,1999,.086867,18320,1.2380418
ABW,2000,.089101,20390,7.6165891
ABW,2001,.090691,20510,4.1959628
ABW,2002,.091781,19290,-.95777101
ABW,2003,.092701,21120,1.1208791
ABW,2004,.09354,24010,7.2810259
ABW,2005,.094483,20370,-.38492707
ABW,2006,.095606,24870,1.1389058
ABW,2007,.096787,23390,3.0967223
ABW,2008,.097996,27580,1.8334309
ABW,2009,.099212,24930,-11.683586
ABW,2010,.100341,23390,-2.732596
ABW,2011,.101288,23400,3.3667781
ABW,2012,.102112,24440,-1.0353753
ABW,2013,.10288,25500,6.4298169
ABW,2014,.103594,25790,-.02047921
ABW,2015,.104257,26180,3.5436297
ABW,2016,.104874,26650,2.1167161
ABW,2017,.105439,27720,5.4823712
ABW,2018,.105962,29030,5.2578557
ABW,2019,.106442,30000,.63502927
ABW,2020,.106585,24590,-18.5891
ABW,2021,.106537,29390,17.172509
AFE,1960,130.69258,,
AFE,1961,134.16924,,.2373043
AFE,1962,137.83559,,7.9844605
AFE,1963,141.63055,,5.1638734
AFE,1964,145.606,,4.5836768
AFE,1965,149.74235,,5.3280442
AFE,1966,153.95552,,3.9139086
AFE,1967,158.31323,,5.2553088
AFE,1968,162.87517,,4.0263021
AFE,1969,167.59616,,5.2783662
AFE,1970,172.47577,,4.6936986
AFE,1971,177.50319,,5.3750049
AFE,1972,182.59909,,2.1541889
AFE,1973,187.90166,,4.4455362
AFE,1974,193.51296,,5.8895561
AFE,1975,199.2843,,1.7360267
AFE,1976,205.20267,,2.8520219
AFE,1977,211.12091,,1.2433832
AFE,1978,217.48142,,1.0447364
AFE,1979,224.31598,,2.802146
AFE,1980,230.96786,,5.4153244
AFE,1981,237.93746,,4.3296942
AFE,1982,245.38672,,.51670529
AFE,1983,252.77973,613.77542,.16207946
AFE,1984,260.20915,587.62137,3.0142996
AFE,1985,267.93812,523.71724,-.4433523
AFE,1986,276.03592,518.10831,2.2939893
AFE,1987,284.49039,574.62276,4.2438513
AFE,1988,292.79519,662.19231,4.0144748
AFE,1989,301.12488,705.37502,2.9099175
AFE,1990,309.89066,712.34703,-.03263015
AFE,1991,318.54408,750.4099,.11402982
AFE,1992,326.93352,702.70561,-1.9638181
AFE,1993,335.62514,695.64018,-.38773294
AFE,1994,344.41836,685.43011,2.0244878
AFE,1995,353.4666,720.10524,4.2986524
AFE,1996,362.9858,735.70496,5.434043
AFE,1997,372.35223,737.79896,4.4328721
AFE,1998,381.7156,680.45756,1.8460084
AFE,1999,391.48623,660.71272,2.6522826
AFE,2000,401.60059,656.09773,3.3539775
AFE,2001,412.00189,629.81899,3.6532242
AFE,2002,422.74112,615.69744,3.9052503
AFE,2003,433.80748,666.23198,3.0960449
AFE,2004,445.28156,810.66306,5.5073149
AFE,2005,457.15384,1015.7067,6.1169245
AFE,2006,469.50852,1142.889,6.5613182
AFE,2007,482.40643,1251.8302,6.5687768
AFE,2008,495.7489,1334.8774,4.3024819
AFE,2009,509.41048,1358.1851,.64542333
AFE,2010,523.45966,1434.3891,5.1971373
AFE,2011,537.79295,1570.0895,3.7001905
AFE,2012,552.53065,1678.4394,.77009732
AFE,2013,567.89188,1710.5821,4.2294082
AFE,2014,583.65083,1690.9131,4.0390822
AFE,2015,600.00815,1572.6986,2.8957283
AFE,2016,616.37733,1463.6936,2.4859525
AFE,2017,632.7463,1451.1804,2.639537
AFE,2018,649.75687,1465.2723,2.6107968
AFE,2019,667.24271,1506.5408,2.0382985
AFE,2020,685.11271,1396.4942,-3.0426531
AFE,2021,702.97683,1464.794,4.4024467
AFG,1960,8.622466,,
AFG,1961,8.79014,,
AFG,1962,8.969047,,
AFG,1963,9.157465,,
AFG,1964,9.355514,,
AFG,1965,9.565147,,
AFG,1966,9.783147,,
AFG,1967,10.01003,,
AFG,1968,10.24778,,
AFG,1969,10.494489,,
AFG,1970,10.752971,,
AFG,1971,11.015857,,
AFG,1972,11.286753,,
AFG,1973,11.575305,,
AFG,1974,11.869879,,
AFG,1975,12.157386,,
AFG,1976,12.425267,,
AFG,1977,12.687301,,
AFG,1978,12.938862,,
AFG,1979,12.986369,,
AFG,1980,12.486631,,
AFG,1981,11.155195,,
AFG,1982,10.088289,,
AFG,1983,9.951449,,
AFG,1984,10.243686,,
AFG,1985,10.512221,,
AFG,1986,10.448442,,
AFG,1987,10.322758,,
AFG,1988,10.38346,,
AFG,1989,10.673168,,
AFG,1990,10.694796,,
AFG,1991,10.745167,,
AFG,1992,12.057433,,
AFG,1993,14.00376,,
AFG,1994,15.455555,,
AFG,1995,16.418912,,
AFG,1996,17.106595,,
AFG,1997,17.788819,,
AFG,1998,18.493132,,
AFG,1999,19.262847,,
AFG,2000,19.542982,,
AFG,2001,19.688632,,
AFG,2002,21.000256,,
AFG,2003,22.64513,,8.8322778
AFG,2004,23.553551,,1.414118
AFG,2005,24.411191,,11.229715
AFG,2006,25.442944,,5.3574033
AFG,2007,25.903301,,13.82632
AFG,2008,26.427199,,3.9249838
AFG,2009,27.385307,460,21.390528
AFG,2010,28.189672,520,14.362441
AFG,2011,29.249157,550,.42635478
AFG,2012,30.466479,650,12.752287
AFG,2013,31.541209,680,5.6007447
AFG,2014,32.71621,650,2.7245434
AFG,2015,33.753499,610,1.4513147
AFG,2016,34.636207,570,2.2603142
AFG,2017,35.643418,540,2.6470032
AFG,2018,36.686784,520,1.1892281
AFG,2019,37.769499,530,3.9116034
AFG,2020,38.97223,500,-2.3511007
AFG,2021,40.099462,390,-20.737146
AFW,1960,97.25629,,
AFW,1961,99.314028,,1.8350562
AFW,1962,101.44503,112.63215,3.7728981
AFW,1963,103.66752,121.00203,7.2829855
AFW,1964,105.95998,126.99325,5.3927055
AFW,1965,108.3362,131.8694,4.0565884
AFW,1966,110.79849,134.7297,-1.807283
AFW,1967,113.31995,127.51486,-9.5959248
AFW,1968,115.92172,129.13471,1.4459408
AFW,1969,118.61574,141.65225,15.553815
AFW,1970,121.4248,168.8455,17.963209
AFW,1971,124.33604,177.34809,10.83522
AFW,1972,127.36404,191.17603,3.1478018
AFW,1973,130.56311,214.34723,4.2232607
AFW,1974,133.95389,298.02617,10.257529
AFW,1975,137.54861,354.64047,-2.1903408
AFW,1976,141.2584,418.32277,8.5824984
AFW,1977,145.12285,450.51214,4.7368785
AFW,1978,149.20666,473.49764,-2.2241092
AFW,1979,153.45967,552.38522,5.2431649
AFW,1980,157.82561,638.07891,2.0135315
AFW,1981,162.32331,753.09242,-6.9844199
AFW,1982,167.02338,864.24484,-3.3772504
AFW,1983,171.56664,912.86916,-6.5671545
AFW,1984,176.0545,749.04406,.54739861
AFW,1985,180.81731,678.22944,5.5541632
AFW,1986,185.72024,616.54304,1.405076
AFW,1987,190.75995,608.77086,1.460462
AFW,1988,195.96972,624.04665,4.8617271
AFW,1989,201.3922,557.95404,2.2695815
AFW,1990,206.73902,550.87076,6.6001986
AFW,1991,212.17289,536.92701,1.1153547
AFW,1992,217.9661,547.6714,2.7083926
AFW,1993,223.78877,467.65205,-1.1671056
AFW,1994,229.67577,412.71305,-.31108767
AFW,1995,235.86148,404.38867,1.9122269
AFW,1996,242.20026,423.43001,4.6258978
AFW,1997,248.7131,461.66119,4.2252676
AFW,1998,255.48292,459.63034,3.4999053
AFW,1999,262.39703,461.99674,1.4150749
AFW,2000,269.6119,452.03244,3.7436666
AFW,2001,277.1601,474.23765,5.2176628
AFW,2002,284.95232,517.33859,9.9381488
AFW,2003,292.97795,578.19329,5.5321126
AFW,2004,301.26525,704.09289,8.0228375
AFW,2005,309.82483,831.63629,5.8528919
AFW,2006,318.60148,1017.4771,5.3797655
AFW,2007,327.61284,1185.2092,5.5391308
AFW,2008,336.89384,1430.5687,6.2830287
AFW,2009,346.47522,1497.6115,6.2883813
AFW,2010,356.33776,1555.1428,6.9654266
AFW,2011,366.4892,1590.3216,4.8520484
AFW,2012,376.798,1763.847,5.1355837
AFW,2013,387.20455,1923.7119,6.108758
AFW,2014,397.85551,2096.8151,5.9304497
AFW,2015,408.69038,2004.9787,2.7451374
AFW,2016,419.77838,1771.3353,.11368699
AFW,2017,431.1387,1587.3976,2.3056235
AFW,2018,442.64682,1604.6282,2.9461746
AFW,2019,454.30606,1663.3357,3.1908789
AFW,2020,466.1891,1644.3599,-.90038189
AFW,2021,478.18591,1707.394,3.9653986
AGO,1960,5.357195,,
AGO,1961,5.441333,,
AGO,1962,5.5214,,
AGO,1963,5.599827,,
AGO,1964,5.673199,,
AGO,1965,5.736582,,
AGO,1966,5.787044,,
AGO,1967,5.827503,,
AGO,1968,5.868203,,
AGO,1969,5.928386,,
AGO,1970,6.0297,,
AGO,1971,6.177049,,
AGO,1972,6.364731,,
AGO,1973,6.57823,,
AGO,1974,6.802494,,
AGO,1975,7.032713,,
AGO,1976,7.26678,,
AGO,1977,7.511895,,
AGO,1978,7.77159,,
AGO,1979,8.043218,,
AGO,1980,8.330047,,
AGO,1981,8.631457,,-4.4000012
AGO,1982,8.947152,,0
AGO,1983,9.276707,,4.2000014
AGO,1984,9.617702,,6.0000022
