xyzdmxyzcountry,xyzdmxyzrequestyear,xyzdcxyzwelfaretype,xyzdcxyzcoverage,xyzdmxyzinterpolation,xyzdcxyzsurvname,xyzdmxyzcomparability,xyzdmxyzcomparable_spell,xyzdpxyzsi_pov_gini,xyzdpxyzsi_pov_theil,xyzdcxyzpppyear
AGO,2000,CONS,N,FALSE,HBS,0,2000,.5195689,.5462119,2011
AGO,2008,CONS,N,FALSE,IBEP-MICS,1,2008,.4271551,.3330803,2011
AGO,2018,CONS,N,FALSE,IDREA,2,2018,.5127211,.6141902,2011
ALB,1996,CONS,N,FALSE,EWS,0,1996,.2701034,.119247,2011
ALB,2002,CONS,N,FALSE,LSMS,1,2002-2012,.3173898,.1797405,2011
ALB,2005,CONS,N,FALSE,LSMS,1,2002-2012,.3059566,.1650443,2011
ALB,2008,CONS,N,FALSE,LSMS,1,2002-2012,.2998467,.1730688,2011
ALB,2012,CONS,N,FALSE,LSMS,1,2002-2012,.2896048,.1436571,2011
ALB,2014,CONS,N,FALSE,HBS,2,2014-2017,.345989,.1975382,2011
ALB,2015,CONS,N,FALSE,HBS,2,2014-2017,.3275373,.1764716,2011
ALB,2016,CONS,N,FALSE,HBS,2,2014-2017,.337363,.1866335,2011
ALB,2017,CONS,N,FALSE,HBS,2,2014-2017,.3305566,.178665,2011
ALB,2018,CONS,N,FALSE,HBS,3,2018-2020,.3014828,.1478622,2011
ALB,2019,CONS,N,FALSE,HBS,3,2018-2020,.3011577,.1506181,2011
ALB,2020,CONS,N,FALSE,HBS,3,2018-2020,.2941963,.1417546,2011
ARE,2013,INC,N,FALSE,HIES,0,2013-2018,.3251042,,2011
ARE,2018,INC,N,FALSE,HIES,0,2013-2018,.2596628,,2011
ARG,1980,INC,U,FALSE,EPH,0,1980-1991,.4083086,,2011
ARG,1986,INC,U,FALSE,EPH,0,1980-1991,.4280889,.3376502,2011
ARG,1987,INC,U,FALSE,EPH,0,1980-1991,.4527636,.3865492,2011
ARG,1991,INC,U,FALSE,EPH,0,1980-1991,.4676174,.4567719,2011
ARG,1992,INC,U,FALSE,EPH,1,1992-1997,.4546809,.3783786,2011
ARG,1993,INC,U,FALSE,EPH,1,1992-1997,.4485629,.3666256,2011
ARG,1994,INC,U,FALSE,EPH,1,1992-1997,.459168,.3891988,2011
ARG,1995,INC,U,FALSE,EPH,1,1992-1997,.489044,.4454302,2011
ARG,1996,INC,U,FALSE,EPH,1,1992-1997,.4952443,.4607693,2011
ARG,1997,INC,U,FALSE,EPH,1,1992-1997,.4911048,.4368883,2011
ARG,1998,INC,U,FALSE,EPH,2,1998-2002,.5073364,.483242,2011
ARG,1999,INC,U,FALSE,EPH,2,1998-2002,.4979204,.4564523,2011
ARG,2000,INC,U,FALSE,EPH,2,1998-2002,.5106396,.4766763,2011
ARG,2001,INC,U,FALSE,EPH,2,1998-2002,.5334311,.5209402,2011
ARG,2002,INC,U,FALSE,EPH,2,1998-2002,.5379376,.5411926,2011
ARG,2003,INC,U,FALSE,EPHC-S2,3,2003-2022,.5100289,.5262776,2011
ARG,2004,INC,U,FALSE,EPHC-S2,3,2003-2022,.4848832,.424657,2011
ARG,2005,INC,U,FALSE,EPHC-S2,3,2003-2022,.478143,.4198694,2011
ARG,2006,INC,U,FALSE,EPHC-S2,3,2003-2022,.4644687,.4087921,2011
ARG,2007,INC,U,FALSE,EPHC-S2,3,2003-2022,.4628617,.3987112,2011
ARG,2008,INC,U,FALSE,EPHC-S2,3,2003-2022,.4498946,.3667941,2011
ARG,2009,INC,U,FALSE,EPHC-S2,3,2003-2022,.4376144,.3348181,2011
ARG,2010,INC,U,FALSE,EPHC-S2,3,2003-2022,.436783,.337164,2011
ARG,2011,INC,U,FALSE,EPHC-S2,3,2003-2022,.4273939,.3185231,2011
ARG,2012,INC,U,FALSE,EPHC-S2,3,2003-2022,.4143858,.2955149,2011
ARG,2013,INC,U,FALSE,EPHC-S2,3,2003-2022,.4108832,.2902874,2011
ARG,2014,INC,U,FALSE,EPHC-S2,3,2003-2022,.4182428,.3037963,2011
