xyzdmxyzcountry,xyzdmxyzrequestyear,xyzdmxyzinterpolation,xyzdcxyzwelfaretype,xyzdcxyzcoverage,xyzdcxyzgender,xyzdcxyzagegroup,xyzdcxyzeducation,xyzdcxyzdistribution,xyzdpxyzsi_pov_share_all,xyzdcxyzpppyear
AGO,2018,FALSE,CONS,,,,No education,B40,.5779687,2011
AGO,2018,FALSE,CONS,,,,No education,T60,.4220313,2011
AGO,2018,FALSE,CONS,,,,Primary education,B40,.4791662,2011
AGO,2018,FALSE,CONS,,,,Primary education,T60,.5208338,2011
AGO,2018,FALSE,CONS,,,,Secondary education,B40,.1906606,2011
AGO,2018,FALSE,CONS,,,,Secondary education,T60,.8093394,2011
AGO,2018,FALSE,CONS,,,,Tertiary education,B40,.0287177,2011
AGO,2018,FALSE,CONS,,,,Tertiary education,T60,.9712823,2011
AGO,2018,FALSE,CONS,,,0-14,,B40,.4580916,2011
AGO,2018,FALSE,CONS,,,0-14,,T60,.5419084,2011
AGO,2018,FALSE,CONS,,,15-64,,B40,.3391451,2011
AGO,2018,FALSE,CONS,,,15-64,,T60,.6608549,2011
AGO,2018,FALSE,CONS,,,>65,,B40,.3489027,2011
AGO,2018,FALSE,CONS,,,>65,,T60,.6510973,2011
AGO,2018,FALSE,CONS,,Female,,,B40,.4045556,2011
AGO,2018,FALSE,CONS,,Female,,,T60,.5954444,2011
AGO,2018,FALSE,CONS,,Male,,,B40,.3931784,2011
AGO,2018,FALSE,CONS,,Male,,,T60,.6068216,2011
AGO,2018,FALSE,CONS,R,,,,B40,.6454613,2011
AGO,2018,FALSE,CONS,R,,,,T60,.3545387,2011
AGO,2018,FALSE,CONS,U,,,,B40,.241871,2011
AGO,2018,FALSE,CONS,U,,,,T60,.758129,2011
ALB,2018,FALSE,INC,,,0-14,,B40,.5393038,2011
ALB,2018,FALSE,INC,,,0-14,,T60,.4606962,2011
ALB,2018,FALSE,INC,,,15-64,,B40,.3919975,2011
ALB,2018,FALSE,INC,,,15-64,,T60,.6080025,2011
ALB,2018,FALSE,INC,,,>65,,B40,.2731082,2011
ALB,2018,FALSE,INC,,,>65,,T60,.7268918,2011
ALB,2018,FALSE,INC,,Female,,,B40,.4069632,2011
ALB,2018,FALSE,INC,,Female,,,T60,.5930368,2011
ALB,2018,FALSE,INC,,Male,,,B40,.3928732,2011
ALB,2018,FALSE,INC,,Male,,,T60,.6071268,2011
ARG,2021,FALSE,INC,,,,No education,B40,.4679658,2011
ARG,2021,FALSE,INC,,,,No education,T60,.5320342,2011
ARG,2021,FALSE,INC,,,,Primary education,B40,.4370324,2011
ARG,2021,FALSE,INC,,,,Primary education,T60,.5629676,2011
ARG,2021,FALSE,INC,,,,Secondary education,B40,.4303929,2011
ARG,2021,FALSE,INC,,,,Secondary education,T60,.5696071,2011
ARG,2021,FALSE,INC,,,,Tertiary education,B40,.1718129,2011
ARG,2021,FALSE,INC,,,,Tertiary education,T60,.8281871,2011
ARG,2021,FALSE,INC,,,0-14,,B40,.5829313,2011
ARG,2021,FALSE,INC,,,0-14,,T60,.4170687,2011
ARG,2021,FALSE,INC,,,15-64,,B40,.3834737,2011
ARG,2021,FALSE,INC,,,15-64,,T60,.6165263,2011
ARG,2021,FALSE,INC,,,>65,,B40,.1236035,2011
ARG,2021,FALSE,INC,,,>65,,T60,.8763965,2011
ARG,2021,FALSE,INC,,Female,,,B40,.4048418,2011
ARG,2021,FALSE,INC,,Female,,,T60,.5951583,2011
ARG,2021,FALSE,INC,,Male,,,B40,.3944954,2011
ARG,2021,FALSE,INC,,Male,,,T60,.6055046,2011
ARG,2021,FALSE,INC,U,,,,B40,.399815,2011
ARG,2021,FALSE,INC,U,,,,T60,.600185,2011
ARM,2021,FALSE,CONS,,,,Primary education,B40,.44146,2011
ARM,2021,FALSE,CONS,,,,Primary education,T60,.55854,2011
ARM,2021,FALSE,CONS,,,,Secondary education,B40,.4075592,2011
ARM,2021,FALSE,CONS,,,,Secondary education,T60,.5924407,2011
ARM,2021,FALSE,CONS,,,,Tertiary education,B40,.2707876,2011
ARM,2021,FALSE,CONS,,,,Tertiary education,T60,.7292124,2011
ARM,2021,FALSE,CONS,,,0-14,,B40,.5584288,2011
ARM,2021,FALSE,CONS,,,0-14,,T60,.4415712,2011
ARM,2021,FALSE,CONS,,,15-64,,B40,.3795082,2011
ARM,2021,FALSE,CONS,,,15-64,,T60,.6204918,2011
ARM,2021,FALSE,CONS,,,>65,,B40,.2913517,2011
ARM,2021,FALSE,CONS,,,>65,,T60,.7086483,2011
ARM,2021,FALSE,CONS,,Female,,,B40,.3890704,2011
ARM,2021,FALSE,CONS,,Female,,,T60,.6109296,2011
ARM,2021,FALSE,CONS,,Male,,,B40,.4122092,2011
ARM,2021,FALSE,CONS,,Male,,,T60,.5877908,2011
ARM,2021,FALSE,CONS,R,,,,B40,.4895913,2011
ARM,2021,FALSE,CONS,R,,,,T60,.5104088,2011
ARM,2021,FALSE,CONS,U,,,,B40,.3336781,2011
ARM,2021,FALSE,CONS,U,,,,T60,.6663219,2011
BDI,2013,FALSE,CONS,,,,No education,B40,.4233674,2011
BDI,2013,FALSE,CONS,,,,No education,T60,.5766326,2011
BDI,2013,FALSE,CONS,,,,Primary education,B40,.3308255,2011
BDI,2013,FALSE,CONS,,,,Primary education,T60,.6691745,2011
BDI,2013,FALSE,CONS,,,,Secondary education,B40,.1550987,2011
BDI,2013,FALSE,CONS,,,,Secondary education,T60,.8449013,2011
BDI,2013,FALSE,CONS,,,,Tertiary education,T60,.9897995,2011
BDI,2013,FALSE,CONS,,,0-14,,B40,.4514281,2011
BDI,2013,FALSE,CONS,,,0-14,,T60,.5485719,2011
BDI,2013,FALSE,CONS,,,15-64,,B40,.3557685,2011
BDI,2013,FALSE,CONS,,,15-64,,T60,.6442315,2011
BDI,2013,FALSE,CONS,,,>65,,B40,.2799399,2011
BDI,2013,FALSE,CONS,,,>65,,T60,.7200601,2011
BDI,2013,FALSE,CONS,,Female,,,B40,.4061523,2011
BDI,2013,FALSE,CONS,,Female,,,T60,.5938477,2011
BDI,2013,FALSE,CONS,,Male,,,B40,.3931839,2011
BDI,2013,FALSE,CONS,,Male,,,T60,.6068161,2011
BDI,2013,FALSE,CONS,R,,,,B40,.4301883,2011
BDI,2013,FALSE,CONS,R,,,,T60,.5698116,2011
BDI,2013,FALSE,CONS,U,,,,B40,.1260068,2011
BDI,2013,FALSE,CONS,U,,,,T60,.8739932,2011
BFA,2018,FALSE,CONS,,,,No education,B40,.4538737,2011
BFA,2018,FALSE,CONS,,,,No education,T60,.5461263,2011
BFA,2018,FALSE,CONS,,,,Primary education,B40,.2146119,2011
BFA,2018,FALSE,CONS,,,,Primary education,T60,.7853881,2011
BFA,2018,FALSE,CONS,,,,Secondary education,B40,.1463261,2011
BFA,2018,FALSE,CONS,,,,Secondary education,T60,.8536739,2011
BFA,2018,FALSE,CONS,,,,Tertiary education,T60,.9883379,2011
BFA,2018,FALSE,CONS,,,0-14,,B40,.4548348,2011
BFA,2018,FALSE,CONS,,,0-14,,T60,.5451652,2011
BFA,2018,FALSE,CONS,,,15-64,,B40,.3498448,2011
BFA,2018,FALSE,CONS,,,15-64,,T60,.6501552,2011
BFA,2018,FALSE,CONS,,,>65,,B40,.3696254,2011
BFA,2018,FALSE,CONS,,,>65,,T60,.6303746,2011
BFA,2018,FALSE,CONS,,Female,,,B40,.4009071,2011
BFA,2018,FALSE,CONS,,Female,,,T60,.5990929,2011
BFA,2018,FALSE,CONS,,Male,,,B40,.3990112,2011
BFA,2018,FALSE,CONS,,Male,,,T60,.6009889,2011
BFA,2018,FALSE,CONS,R,,,,B40,.5125206,2011
BFA,2018,FALSE,CONS,R,,,,T60,.4874794,2011
BFA,2018,FALSE,CONS,U,,,,B40,.0741467,2011
BFA,2018,FALSE,CONS,U,,,,T60,.9258533,2011
BGD,2022,FALSE,CONS,,,,No education,B40,.491294,2011
BGD,2022,FALSE,CONS,,,,No education,T60,.508706,2011
BGD,2022,FALSE,CONS,,,,Primary education,B40,.4376932,2011
BGD,2022,FALSE,CONS,,,,Primary education,T60,.5623068,2011
BGD,2022,FALSE,CONS,,,,Secondary education,B40,.3234073,2011
BGD,2022,FALSE,CONS,,,,Secondary education,T60,.6765927,2011
BGD,2022,FALSE,CONS,,,,Tertiary education,B40,.167441,2011
BGD,2022,FALSE,CONS,,,,Tertiary education,T60,.832559,2011
BGD,2022,FALSE,CONS,,,0-14,,B40,.4698088,2011
BGD,2022,FALSE,CONS,,,0-14,,T60,.5301912,2011
BGD,2022,FALSE,CONS,,,15-64,,B40,.3720791,2011
BGD,2022,FALSE,CONS,,,15-64,,T60,.6279209,2011
BGD,2022,FALSE,CONS,,,>65,,B40,.3786565,2011
BGD,2022,FALSE,CONS,,,>65,,T60,.6213435,2011
BGD,2022,FALSE,CONS,,Female,,,B40,.3994457,2011
BGD,2022,FALSE,CONS,,Female,,,T60,.6005543,2011
BGD,2022,FALSE,CONS,,Male,,,B40,.400526,2011
BGD,2022,FALSE,CONS,,Male,,,T60,.599474,2011
BGD,2022,FALSE,CONS,R,,,,B40,.4698504,2011
BGD,2022,FALSE,CONS,R,,,,T60,.5301496,2011
BGD,2022,FALSE,CONS,U,,,,B40,.2470653,2011
BGD,2022,FALSE,CONS,U,,,,T60,.7529348,2011
BGR,2020,FALSE,INC,,,,No education,B40,.7670128,2011
BGR,2020,FALSE,INC,,,,No education,T60,.2329872,2011
BGR,2020,FALSE,INC,,,,Primary education,B40,.8203639,2011
BGR,2020,FALSE,INC,,,,Primary education,T60,.1796362,2011
BGR,2020,FALSE,INC,,,,Secondary education,B40,.4172963,2011
BGR,2020,FALSE,INC,,,,Secondary education,T60,.5827038,2011
BGR,2020,FALSE,INC,,,,Tertiary education,B40,.1752494,2011
BGR,2020,FALSE,INC,,,,Tertiary education,T60,.8247507,2011
BGR,2020,FALSE,INC,,,0-14,,B40,.53157,2011
BGR,2020,FALSE,INC,,,0-14,,T60,.46843,2011
BGR,2020,FALSE,INC,,,15-64,,B40,.3592685,2011
BGR,2020,FALSE,INC,,,15-64,,T60,.6407315,2011
BGR,2020,FALSE,INC,,,>65,,B40,.4339598,2011
BGR,2020,FALSE,INC,,,>65,,T60,.5660403,2011
BGR,2020,FALSE,INC,,Female,,,B40,.4167143,2011
BGR,2020,FALSE,INC,,Female,,,T60,.5832857,2011
BGR,2020,FALSE,INC,,Male,,,B40,.3821537,2011
BGR,2020,FALSE,INC,,Male,,,T60,.6178463,2011
BGR,2020,FALSE,INC,R,,,,B40,.5287001,2011
BGR,2020,FALSE,INC,R,,,,T60,.4712999,2011
BGR,2020,FALSE,INC,U,,,,B40,.341206,2011
BGR,2020,FALSE,INC,U,,,,T60,.6587939,2011
BLR,2020,FALSE,CONS,,,0-14,,B40,.5511427,2011
BLR,2020,FALSE,CONS,,,0-14,,T60,.4488573,2011
BLR,2020,FALSE,CONS,,,15-64,,B40,.3784763,2011
BLR,2020,FALSE,CONS,,,15-64,,T60,.6215237,2011
BLR,2020,FALSE,CONS,,,>65,,B40,.3343788,2011
BLR,2020,FALSE,CONS,,,>65,,T60,.6656212,2011
BLR,2020,FALSE,CONS,,Female,,,B40,.3862644,2011
BLR,2020,FALSE,CONS,,Female,,,T60,.6137356,2011
BLR,2020,FALSE,CONS,,Male,,,B40,.4178081,2011
BLR,2020,FALSE,CONS,,Male,,,T60,.5821919,2011
BLR,2020,FALSE,CONS,R,,,,B40,.5623227,2011
BLR,2020,FALSE,CONS,R,,,,T60,.4376773,2011
BLR,2020,FALSE,CONS,U,,,,B40,.3438406,2011
BLR,2020,FALSE,CONS,U,,,,T60,.6561594,2011
BOL,2021,FALSE,INC,,,,No education,B40,.5902832,2011
BOL,2021,FALSE,INC,,,,No education,T60,.4097168,2011
BOL,2021,FALSE,INC,,,,Primary education,B40,.4558788,2011
BOL,2021,FALSE,INC,,,,Primary education,T60,.5441212,2011
BOL,2021,FALSE,INC,,,,Secondary education,B40,.3664559,2011
BOL,2021,FALSE,INC,,,,Secondary education,T60,.6335441,2011
