xyzdmxyzcountry,xyzdmxyzrequestyear,xyzdmxyzinterpolation,xyzdcxyzwelfaretype,xyzdpxyzsi_mpm_educ,xyzdpxyzsi_mpm_edue,xyzdpxyzsi_mpm_elec,xyzdpxyzsi_mpm_imps,xyzdpxyzsi_mpm_impw,xyzdpxyzsi_mpm_poor,xyzdpxyzsi_mpm_mdhc,survname,comparable_spell,xyzdcxyzpppyear,xyzdcxyzcoverage
AGO,2018,FALSE,CONS,.29753423,.27443059,.52639534,.53637519,.32106507,.31122006,.47203606,IDREA,2018,2017,N
AGO,2018,FALSE,CONS,.29753423,.27443059,.52639534,.53637519,.32106507,.49902954,.57967394,IDREA,2018,2011,N
ALB,2012,FALSE,CONS,.02271381,.06731327,.00496704,.03040233,.00342548,.00620691,.00792693,LSMS,2002-2012,2017,N
ALB,2012,FALSE,CONS,.02271381,.06731327,.00496704,.03040233,.00342548,.00849754,.01021757,LSMS,2002-2012,2011,N
ALB,2016,FALSE,CONS,.00622464,,.00431298,.07603243,.08402681,.00139303,.00781341,HBS,2014-2017,2017,N
ALB,2016,FALSE,CONS,.00622464,,.00431298,.07603243,.08402681,.00410364,.01052402,HBS,2014-2017,2011,N
ALB,2017,FALSE,CONS,.00331231,,.00131322,.06976079,.0927045,.0039257,.00711346,HBS,2014-2017,2017,N
ALB,2017,FALSE,CONS,.00331231,,.00131322,.06976079,.0927045,.00428475,.00747252,HBS,2014-2017,2011,N
ALB,2018,FALSE,CONS,.0019238,,.0006025,.06579772,.09594966,.00120772,.00365827,HBS,2018-2020,2011,N
ALB,2018,FALSE,CONS,.0019238,,.0006025,.06579772,.09594966,.00048107,.00293161,HBS,2018-2020,2017,N
ARG,2010,FALSE,INC,.01904169,.00963598,0,.00683219,.00325656,.01442093,.01463742,EPHC-S2,2003-2021,2011,U
ARG,2010,FALSE,INC,.01904169,.00963598,0,.00683219,.00325656,.00749329,.00772191,EPHC-S2,2003-2021,2017,U
ARG,2011,FALSE,INC,.01807899,.01051406,0,.00716557,.00308643,.0070742,.00743913,EPHC-S2,2003-2021,2017,U
ARG,2011,FALSE,INC,.01807899,.01051406,0,.00716557,.00308643,.01135401,.01168897,EPHC-S2,2003-2021,2011,U
ARG,2012,FALSE,INC,.01650053,.00833707,0,.00523555,.00324075,.01155554,.01189579,EPHC-S2,2003-2021,2011,U
ARG,2012,FALSE,INC,.01650053,.00833707,0,.00523555,.00324075,.00640789,.00675336,EPHC-S2,2003-2021,2017,U
ARG,2013,FALSE,INC,.01619022,.00896339,0,.00405952,.00321066,.00622535,.00656615,EPHC-S2,2003-2021,2017,U
ARG,2013,FALSE,INC,.01619022,.00896339,0,.00405952,.00321066,.01015866,.01049946,EPHC-S2,2003-2021,2011,U
ARG,2014,FALSE,INC,.01418414,.0094894,0,.00399437,.0040557,.00928841,.00950955,EPHC-S2,2003-2021,2011,U
ARG,2014,FALSE,INC,.01418414,.0094894,0,.00399437,.0040557,.00612467,.00634581,EPHC-S2,2003-2021,2017,U
ARG,2016,FALSE,INC,.01627886,.01170131,0,.00391275,.00405132,.01070877,.01098218,EPHC-S2,2003-2021,2011,U
ARG,2016,FALSE,INC,.01627886,.01170131,0,.00391275,.00405132,.00667549,.0069489,EPHC-S2,2003-2021,2017,U
ARG,2017,FALSE,INC,.01485077,.00715648,0,.00447502,.00400695,.00918538,.0092575,EPHC-S2,2003-2021,2011,U
ARG,2017,FALSE,INC,.01485077,.00715648,0,.00447502,.00400695,.00424027,.00431239,EPHC-S2,2003-2021,2017,U
ARG,2018,FALSE,INC,.01339472,.00736694,0,.00545783,.00264292,.01369831,.01418046,EPHC-S2,2003-2021,2011,U
ARG,2018,FALSE,INC,.01339472,.00736694,0,.00545783,.00264292,.0076747,.00815685,EPHC-S2,2003-2021,2017,U
ARG,2019,FALSE,INC,.01458941,.00641644,0,.00420741,.00254712,.01300301,.01328118,EPHC-S2,2003-2021,2011,U
ARG,2019,FALSE,INC,.01458941,.00641644,0,.00420741,.00254712,.00784007,.00811824,EPHC-S2,2003-2021,2017,U
ARG,2020,FALSE,INC,.01360458,.00658735,0,.00819662,.00123864,.01074727,.01076348,EPHC-S2,2003-2021,2017,U
ARG,2020,FALSE,INC,.01360458,.00658735,0,.00819662,.00123864,.01640419,.0164204,EPHC-S2,2003-2021,2011,U
ARG,2021,FALSE,INC,.0108532,.00731351,0,.00193965,.00364048,.01230121,.01242476,EPHC-S2,2003-2021,2011,U
ARG,2021,FALSE,INC,.0108532,.00731351,0,.00193965,.00364048,.00958847,.00971202,EPHC-S2,2003-2021,2017,U
ARM,2014,FALSE,CONS,.00044237,.01935728,.00222711,.01179628,.00573703,.01541668,.01566778,ILCS,1999-2018,2011,N
ARM,2014,FALSE,CONS,.00044237,.01935728,.00222711,.01179628,.00573703,.01439143,.01464253,ILCS,1999-2018,2017,N
ARM,2015,FALSE,CONS,.00031529,.02134397,.00405054,.00939469,.01553284,.0114636,.01150466,ILCS,1999-2018,2017,N
ARM,2015,FALSE,CONS,.00031529,.02134397,.00405054,.00939469,.01553284,.01260682,.01264788,ILCS,1999-2018,2011,N
ARM,2016,FALSE,CONS,.00052469,.0222206,.00096802,.07927374,.00364021,.01162991,.01162991,ILCS,1999-2018,2011,N
ARM,2016,FALSE,CONS,.00052469,.0222206,.00096802,.07927374,.00364021,.01107947,.01107947,ILCS,1999-2018,2017,N
ARM,2017,FALSE,CONS,.0006926,.01731805,.00267918,.07289346,.00304843,.00880793,.00916821,ILCS,1999-2018,2011,N
ARM,2017,FALSE,CONS,.0006926,.01731805,.00267918,.07289346,.00304843,.00785655,.00821682,ILCS,1999-2018,2017,N
ARM,2018,FALSE,CONS,.00013154,.01662955,.00067591,.05050995,.0037203,.01339821,.01339821,ILCS,1999-2018,2017,N
ARM,2018,FALSE,CONS,.00013154,.01662955,.00067591,.05050995,.0037203,.01409537,.01409537,ILCS,1999-2018,2011,N
ARM,2019,FALSE,CONS,.00032186,.02024301,0,.02411591,.01059468,.01078999,.01078999,ILCS,2019-2021,2011,N
ARM,2019,FALSE,CONS,.00032186,.02024301,0,.02411591,.01059468,.0103007,.0103007,ILCS,2019-2021,2017,N
ARM,2020,FALSE,CONS,.00057002,.01937264,0,.00758102,.01592332,.00388135,.00388135,ILCS,2019-2021,2011,N
ARM,2020,FALSE,CONS,.00057002,.01937264,0,.00758102,.01592332,.0035201,.0035201,ILCS,2019-2021,2017,N
