xyzdmxyzcountry,xyzdmxyzyearrange,xyzdmxyzinterpolation,xyzdcxyzwelfaretype,xyzdcxyzdistribution,xyzdpxyzsi_spr_pcap_zg,xyzdcxyzpppyear,xyzdmxyzcoverage,survey_coverage
ALB,2008-2012,FALSE,CONS,premium,.09377933,2011,N,N
ALB,2008-2012,FALSE,CONS,m50,-.47906005,2017,N,N
ALB,2008-2012,FALSE,CONS,b40,-1.2296535,2017,N,N
ALB,2008-2012,FALSE,CONS,m50,-.47905833,2011,N,N
ALB,2008-2012,FALSE,CONS,premium,.09378309,2017,N,N
ALB,2008-2012,FALSE,CONS,tot,-1.3234366,2017,N,N
ALB,2008-2012,FALSE,CONS,b40,-1.2296549,2011,N,N
ALB,2008-2012,FALSE,CONS,tot,-1.3234342,2011,N,N
ALB,2014-2017,FALSE,CONS,premium,1.8446317,2011,N,N
ALB,2014-2017,FALSE,CONS,m50,7.0893498,2017,N,N
ALB,2014-2017,FALSE,CONS,b40,8.8092461,2011,N,N
ALB,2014-2017,FALSE,CONS,premium,1.8446339,2017,N,N
ALB,2014-2017,FALSE,CONS,b40,8.8092504,2017,N,N
ALB,2014-2017,FALSE,CONS,tot,6.9646165,2017,N,N
ALB,2014-2017,FALSE,CONS,m50,7.0893402,2011,N,N
ALB,2014-2017,FALSE,CONS,tot,6.9646144,2011,N,N
ARE,2013-2018,FALSE,INC,premium,5.2331062,2017,N,N
ARE,2013-2018,FALSE,INC,premium,5.2331062,2011,N,N
ARE,2013-2018,FALSE,INC,b40,7.0773595,2011,N,N
ARE,2013-2018,FALSE,INC,tot,1.8442534,2017,N,N
ARE,2013-2018,FALSE,INC,m50,2.2464901,2017,N,N
ARE,2013-2018,FALSE,INC,tot,1.8442534,2011,N,N
ARE,2013-2018,FALSE,INC,b40,7.0773595,2017,N,N
ARE,2013-2018,FALSE,INC,m50,2.2464901,2011,N,N
ARG,2006-2011,FALSE,INC,premium,2.769701,2011,U,U
ARG,2006-2011,FALSE,INC,premium,2.7696996,2017,U,U
ARG,2006-2011,FALSE,INC,m50,4.7651715,2011,U,U
ARG,2006-2011,FALSE,INC,tot,3.6700728,2017,U,U
ARG,2006-2011,FALSE,INC,b40,6.4397793,2011,U,U
ARG,2006-2011,FALSE,INC,b40,6.4397724,2017,U,U
ARG,2006-2011,FALSE,INC,tot,3.6700783,2011,U,U
ARG,2006-2011,FALSE,INC,m50,4.7651644,2017,U,U
ARG,2007-2012,FALSE,INC,m50,4.4008641,2011,U,U
